FC Nantes	Andrei Girotto	0	0	6	40/47 (85%)	8 (8)	6 (6)	2 (2)	90'	M	7.5
FC Nantes	Alban Lafont	0	0	0	16/26 (62%)	0 (0)	0 (0)	0 (0)	90'	G	7.1
FC Nantes	Dennis Appiah	0	0	2	12/16 (75%)	6 (3)	6 (3)	0 (0)	90'	D	6.8
FC Nantes	Moses Simon	0	0	2	13/14 (93%)	9 (6)	7 (5)	2 (1)	77'	M	6.8
FC Nantes	Samuel Moutoussamy	0	0	3	33/36 (92%)	11 (4)	8 (3)	3 (1)	90'	M	6.8
FC Nantes	Ludovic Blas	0	0	1	28/34 (82%)	10 (4)	9 (4)	1 (0)	90'	F	6.7
FC Nantes	Quentin Merlin	0	0	1	29/34 (85%)	3 (2)	3 (2)	0 (0)	90'	D	6.7
FC Nantes	Randal Kolo Muani	0	0	0	7/12 (58%)	12 (5)	10 (4)	2 (1)	90'	F	6.6
FC Nantes	Wylan Cyprien	0	0	0	40/45 (89%)	6 (2)	5 (2)	1 (0)	90'	M	6.6
FC Nantes	Willem Geubbels	0	0	0	1/3 (33%)	1 (0)	0 (0)	1 (0)	13'	F	6.5
FC Nantes	Jean-Charles Castelletto	0	0	0	27/29 (93%)	3 (0)	3 (0)	0 (0)	90'	D	6.4
FC Nantes	Nicolas Pallois	0	0	2	14/17 (82%)	4 (2)	4 (2)	0 (0)	32'	D	5.5
